  s1-eth6:     0.02 Mb/s In     0.67 Mb/s Out -     30.0 p/s In      42.0 p/s Out
1648366995 total:        3.05 Mb/s In     2.95 Mb/s Out -    304.0 p/s In     296.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.29 Mb/s In     0.03 Mb/s Out -     65.0 p/s In      53.0 p/s Out
  s1-eth2:     1.01 Mb/s In     0.02 Mb/s Out -     54.0 p/s In      41.0 p/s Out
  s1-eth3:     0.67 Mb/s In     0.02 Mb/s Out -     44.0 p/s In      29.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.23 Mb/s Out -     52.0 p/s In      62.0 p/s Out
  s1-eth5:     0.02 Mb/s In     0.99 Mb/s Out -     42.0 p/s In      52.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.65 Mb/s Out -     30.0 p/s In      42.0 p/s Out
1648366996 total:        3.42 Mb/s In     5.00 Mb/s Out -    330.0 p/s In     814.0 p/s Out
    ens4:     0.02 Mb/s In     1.76 Mb/s Out -     25.0 p/s In     521.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.03 Mb/s In     0.02 Mb/s Out -     58.0 p/s In      43.0 p/s Out
  s1-eth2:     1.13 Mb/s In     0.02 Mb/s Out -     56.0 p/s In      44.0 p/s Out
  s1-eth3:     1.16 Mb/s In     0.02 Mb/s Out -     56.0 p/s In      44.0 p/s Out
  s1-eth4:     0.02 Mb/s In     0.97 Mb/s Out -     44.0 p/s In      55.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.08 Mb/s Out -     47.0 p/s In      54.0 p/s Out
  s1-eth6:     0.02 Mb/s In     1.12 Mb/s Out -     44.0 p/s In      53.0 p/s Out
1648366997 total:        5.74 Mb/s In     5.58 Mb/s Out -    491.0 p/s In     484.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     18.0 p/s In      24.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     2.05 Mb/s In     0.04 Mb/s Out -     95.0 p/s In      70.0 p/s Out
  s1-eth2:     2.07 Mb/s In     0.04 Mb/s Out -     96.0 p/s In      80.0 p/s Out
  s1-eth3:     1.50 Mb/s In     0.03 Mb/s Out -     71.0 p/s In      54.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.95 Mb/s Out -     72.0 p/s In      90.0 p/s Out
  s1-eth5:     0.04 Mb/s In     2.07 Mb/s Out -     81.0 p/s In      97.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.44 Mb/s Out -     58.0 p/s In      69.0 p/s Out
1648366998 total:        5.41 Mb/s In     5.37 Mb/s Out -    492.0 p/s In     482.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     17.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
