      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.84 Mb/s In     0.23 Mb/s Out -    489.0 p/s In     439.0 p/s Out
  s1-eth2:     9.85 Mb/s In     0.23 Mb/s Out -    492.0 p/s In     440.0 p/s Out
  s1-eth3:     9.83 Mb/s In     0.23 Mb/s Out -    498.0 p/s In     427.0 p/s Out
  s1-eth4:     0.23 Mb/s In     9.81 Mb/s Out -    440.0 p/s In     488.0 p/s Out
  s1-eth5:     0.23 Mb/s In     9.84 Mb/s Out -    439.0 p/s In     493.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.83 Mb/s Out -    426.0 p/s In     498.0 p/s Out
1648366340 total:       30.07 Mb/s In    30.08 Mb/s Out -   2545.0 p/s In    2544.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.82 Mb/s In     0.20 Mb/s Out -    469.0 p/s In     375.0 p/s Out
  s1-eth2:     9.81 Mb/s In     0.20 Mb/s Out -    467.0 p/s In     373.0 p/s Out
  s1-eth3:     9.84 Mb/s In     0.20 Mb/s Out -    464.0 p/s In     378.0 p/s Out
  s1-eth4:     0.20 Mb/s In     9.83 Mb/s Out -    375.0 p/s In     469.0 p/s Out
  s1-eth5:     0.20 Mb/s In     9.83 Mb/s Out -    374.0 p/s In     467.0 p/s Out
  s1-eth6:     0.20 Mb/s In     9.81 Mb/s Out -    379.0 p/s In     465.0 p/s Out
1648366341 total:       30.00 Mb/s In    30.04 Mb/s Out -   2496.0 p/s In    2498.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      18.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    425.0 p/s In     400.0 p/s Out
  s1-eth2:     9.78 Mb/s In     0.21 Mb/s Out -    427.0 p/s In     399.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.21 Mb/s Out -    432.0 p/s In     394.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    401.0 p/s In     426.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.78 Mb/s Out -    399.0 p/s In     428.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.82 Mb/s Out -    395.0 p/s In     433.0 p/s Out
1648366342 total:       30.04 Mb/s In    31.76 Mb/s Out -   2494.0 p/s In    2987.0 p/s Out
    ens4:     0.02 Mb/s In     1.75 Mb/s Out -     17.0 p/s In     507.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     405.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     403.0 p/s Out
  s1-eth3:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     405.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.79 Mb/s Out -    403.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    403.0 p/s In     423.0 p/s Out
1648366343 total:       30.06 Mb/s In    30.04 Mb/s Out -   2492.0 p/s In    2494.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     12.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     404.0 p/s Out
  s1-eth2:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     404.0 p/s Out
  s1-eth3:     9.80 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     403.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.81 Mb/s Out -    404.0 p/s In     423.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.78 Mb/s Out -    404.0 p/s In     421.0 p/s Out
1648366344 total:       30.01 Mb/s In    30.04 Mb/s Out -   2495.0 p/s In    2498.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     405.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.78 Mb/s Out -    404.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.80 Mb/s Out -    404.0 p/s In     423.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.80 Mb/s Out -    404.0 p/s In     423.0 p/s Out
1648366345 total:       30.02 Mb/s In    30.03 Mb/s Out -   2492.0 p/s In    2492.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     14.0 p/s In      14.0 p/s Out
