experiment_id,timestamp,host,in_num,in_unit,out_num,out_unit,in_pac_num,in_pac_unit,out_pac_num,out_pac_unit
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,s1-eth1,6.49,Mb/s,0.32,Mb/s,547.0,p/s,548.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,s1-eth2,7.80,Mb/s,0.40,Mb/s,658.0,p/s,670.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,s1-eth3,9.83,Mb/s,0.49,Mb/s,829.0,p/s,825.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,s1-eth4,0.32,Mb/s,6.49,Mb/s,546.0,p/s,547.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,s1-eth5,0.39,Mb/s,7.87,Mb/s,666.0,p/s,664.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,s1-eth6,0.49,Mb/s,9.82,Mb/s,826.0,p/s,828.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,total,27.46,Mb/s,27.33,Mb/s,4411.0,p/s,4392.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,ens4,0.01,Mb/s,0.01,Mb/s,11.0,p/s,7.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,s1-eth1,9.58,Mb/s,0.47,Mb/s,808.0,p/s,793.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,s1-eth2,6.83,Mb/s,0.34,Mb/s,576.0,p/s,576.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,s1-eth3,9.75,Mb/s,0.49,Mb/s,822.0,p/s,821.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366412,s1-eth4,0.47,Mb/s,9.51,Mb/s,797.0,p/s,802.0,p/s
