  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.02 Mb/s In     0.00 Mb/s Out -      2.0 p/s In       2.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.01 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       0.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.04 Mb/s Out -      2.0 p/s In       3.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.01 Mb/s Out -      0.0 p/s In       1.0 p/s Out
1648366686 total:        0.12 Mb/s In     0.12 Mb/s Out -     46.0 p/s In      47.0 p/s Out
    ens4:     0.03 Mb/s In     0.03 Mb/s Out -     34.0 p/s In      35.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.07 Mb/s In     0.00 Mb/s Out -      6.0 p/s In       5.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.01 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       0.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.07 Mb/s Out -      5.0 p/s In       6.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.01 Mb/s Out -      0.0 p/s In       1.0 p/s Out
1648366687 total:        0.55 Mb/s In     0.52 Mb/s Out -     84.0 p/s In      74.0 p/s Out
    ens4:     0.03 Mb/s In     0.03 Mb/s Out -     38.0 p/s In      33.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.51 Mb/s In     0.01 Mb/s Out -     25.0 p/s In      18.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth4:     0.01 Mb/s In     0.48 Mb/s Out -     21.0 p/s In      23.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
1648366688 total:        0.86 Mb/s In     0.79 Mb/s Out -    122.0 p/s In     113.0 p/s Out
    ens4:     0.03 Mb/s In     0.03 Mb/s Out -     29.0 p/s In      30.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.71 Mb/s In     0.02 Mb/s Out -     42.0 p/s In      29.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.11 Mb/s In     0.00 Mb/s Out -      8.0 p/s In       7.0 p/s Out
  s1-eth4:     0.02 Mb/s In     0.65 Mb/s Out -     36.0 p/s In      40.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.10 Mb/s Out -      7.0 p/s In       7.0 p/s Out
1648366689 total:        0.20 Mb/s In     0.19 Mb/s Out -     67.0 p/s In      63.0 p/s Out
    ens4:     0.04 Mb/s In     0.04 Mb/s Out -     46.0 p/s In      43.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.16 Mb/s In     0.00 Mb/s Out -     13.0 p/s In       8.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.15 Mb/s Out -      8.0 p/s In      12.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
1648366690 total:        0.24 Mb/s In     0.24 Mb/s Out -     58.0 p/s In      58.0 p/s Out
    ens4:     0.03 Mb/s In     0.03 Mb/s Out -     32.0 p/s In      32.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.20 Mb/s In     0.01 Mb/s Out -     13.0 p/s In      10.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       0.0 p/s Out
  s1-eth4:     0.01 Mb/s In     0.20 Mb/s Out -     12.0 p/s In      14.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
1648366691 total:        0.32 Mb/s In     2.05 Mb/s Out -     75.0 p/s In     564.0 p/s Out
    ens4:     0.03 Mb/s In     1.76 Mb/s Out -     32.0 p/s In     519.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
