  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
1648366381 total:       23.59 Mb/s In    23.58 Mb/s Out -   1962.0 p/s In    1957.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     12.0 p/s In      10.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.67 Mb/s In     0.17 Mb/s Out -    331.0 p/s In     316.0 p/s Out
  s1-eth2:     7.72 Mb/s In     0.17 Mb/s Out -    333.0 p/s In     319.0 p/s Out
  s1-eth3:     7.69 Mb/s In     0.17 Mb/s Out -    332.0 p/s In     318.0 p/s Out
  s1-eth4:     0.17 Mb/s In     7.66 Mb/s Out -    316.0 p/s In     330.0 p/s Out
  s1-eth5:     0.17 Mb/s In     7.73 Mb/s Out -    320.0 p/s In     333.0 p/s Out
  s1-eth6:     0.17 Mb/s In     7.68 Mb/s Out -    318.0 p/s In     331.0 p/s Out
1648366382 total:       30.04 Mb/s In    30.06 Mb/s Out -   2489.0 p/s In    2495.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     12.0 p/s In      12.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth2:     9.81 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     405.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     405.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.80 Mb/s Out -    403.0 p/s In     423.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.80 Mb/s Out -    403.0 p/s In     423.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.80 Mb/s Out -    404.0 p/s In     423.0 p/s Out
1648366383 total:       30.03 Mb/s In    31.76 Mb/s Out -   2495.0 p/s In    2981.0 p/s Out
    ens4:     0.02 Mb/s In     1.75 Mb/s Out -     16.0 p/s In     507.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     403.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     402.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     403.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    405.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
1648366384 total:       30.01 Mb/s In    30.02 Mb/s Out -   2488.0 p/s In    2489.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      9.0 p/s In       9.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     405.0 p/s Out
  s1-eth2:     9.78 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.78 Mb/s Out -    404.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.78 Mb/s Out -    403.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.81 Mb/s Out -    405.0 p/s In     423.0 p/s Out
1648366385 total:       30.05 Mb/s In    30.06 Mb/s Out -   2489.0 p/s In    2492.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     13.0 p/s In      13.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     403.0 p/s Out
  s1-eth2:     9.81 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     403.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     405.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.81 Mb/s Out -    403.0 p/s In     423.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.81 Mb/s Out -    403.0 p/s In     423.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.78 Mb/s Out -    403.0 p/s In     422.0 p/s Out
1648366386 total:       29.87 Mb/s In    29.88 Mb/s Out -   2470.0 p/s In    2473.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     11.0 p/s In      11.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.72 Mb/s In     0.21 Mb/s Out -    419.0 p/s In     402.0 p/s Out
  s1-eth2:     9.72 Mb/s In     0.21 Mb/s Out -    419.0 p/s In     402.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     396.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.72 Mb/s Out -    401.0 p/s In     420.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.72 Mb/s Out -    402.0 p/s In     419.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    396.0 p/s In     423.0 p/s Out
1648366387 total:       30.06 Mb/s In    30.04 Mb/s Out -   2491.0 p/s In    2489.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     14.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     402.0 p/s Out
  s1-eth2:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     402.0 p/s Out
  s1-eth3:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     404.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.80 Mb/s Out -    402.0 p/s In     423.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.79 Mb/s Out -    402.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
1648366388 total:       30.01 Mb/s In    30.00 Mb/s Out -   2475.0 p/s In    2481.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     11.0 p/s In      11.0 p/s Out
